year,aqi
1971,83.75
1972,95.75155279503106
1973,68.5625
1974,101.0
1975,101.33695652173913
1976,132.9673913043478
1977,137.1576086956522
1978,128.80978260869566
1979,104.97826086956522
1980,116.53804347826087
1981,108.44021739130434
1982,109.20108695652172
1983,117.79891304347828
1984,110.1358695652174
1985,108.5
1986,104.17391304347828
1987,105.82608695652172
1988,111.57065217391305
1989,92.03804347826087
1990,82.22826086956522
1991,83.6195652173913
1992,78.20108695652173
1993,85.60326086956522
1994,89.41304347826087
1995,86.46739130434783
1996,74.43478260869566
1997,71.60326086956522
1998,80.8695652173913
1999,87.95652173913044
2000,75.33695652173913
2001,78.84239130434783
2002,88.67391304347827
2003,74.97282608695652
2004,72.1195652173913
2005,81.82608695652173
2006,73.0
2007,81.95652173913044
2008,62.875
2009,63.73913043478261
2010,66.09239130434783
2011,72.9945652173913
2012,72.8586956521739
2013,66.29891304347827
2014,62.85326086956522
2015,57.77173913043478
2016,58.766304347826086
2017,55.56521739130435
2018,60.61413043478261
2019,59.73913043478261
2020,54.72826086956522
2021,58.81521739130435
2022,58.41847826086956
2023,65.79347826086956
2024,53.73202614379085
