Fire_Year,smoke_estimate_annual
1964,0.3851706003205422
1965,0.4314421668472745
1966,0.9672368980726487
1967,2.2373317034189473
1968,1.411246420949479
1969,4.77586324015561
1970,2.516788060871388
1971,10.552316790342392
1972,1.2621486894034941
1973,0.7497676936845193
1974,1.5094585802201967
1975,0.7119515535728279
1976,1.8920755938871134
1977,2.8773915217798725
1978,1.3868810790183446
1979,1.9237328894294838
1980,41.66045499167944
1981,1.7200528379556719
1982,0.67601377466164
1983,2.658758556817936
1984,8.584828199133176
1985,126.2339484914012
1986,42.26927894623333
1987,31.808771391823527
1988,69.12569665126392
1989,16.29423219302652
1990,21.746455751010245
1991,53.784844839360126
1992,19.529420424399916
1993,24.22597771806038
1994,60.22326119611023
1995,43.28492782167314
1996,71.72444779728352
1997,19.63760593249564
1998,19.456155531592067
1999,27.668610816688474
2000,61.53315917427267
2001,37.070629796789426
2002,76.77400596327831
2003,78.8964338700611
2004,74.79019220495485
2005,53.06597643750876
2006,58.868822192656694
2007,101.42862738131504
2008,32.58629258414372
2009,92.79232155498505
2010,33.73283344319053
2011,71.28012286952014
2012,38.09390407650256
2013,27.239155007245643
2014,69.03473412678905
2015,54.89501130652338
2016,66.37077577507729
2017,62.674473191172765
2018,37.0678930103694
2019,20.21510622313275
2020,16.529503785824915
