Year,Asthma_ED,Asthma_Hospitalization,COPD_ED,COPD_Hospitalization,Death_Rate,CRD_Incidence_Rate_State,COPD_Incidence_Rate_State,Asthma_Incidence_Rate_State,CRD_Death_Rate_State,COPD_Death_Rate_State,Asthma_Death_Rate_State,Death_Rate_State
1980,,,,,,,,,29.82652380929119,25.951203439369863,1.1900758928422952,
1981,,,,,,,,,31.630761713542604,27.74066064368649,1.2238646859190234,
1982,,,,,,,,,32.47049517297993,28.54164594875393,1.2283247452698107,
1983,,,,,,,,,34.835883274072,30.75314352114368,1.311012357715666,
1984,,,,,,,,,36.101525814070726,31.70148951821282,1.356883707785537,
1985,,,,,,,,,38.99643906544299,34.1835077617883,1.4605166162653855,
1986,,,,,,,,,41.21537471225127,36.36575449321514,1.5438833443945057,
1987,,,,,,,,,41.7354232852138,36.708155449451,1.6344678618098936,
1988,,,,,,,,,43.67373967869856,38.31173555868279,1.7369026057915071,
1989,,,,,,,,,43.99852608138578,38.38952661137541,1.7797977187626963,
1990,,,,,,1543.68910374334,277.45961188045,1254.34707204291,45.36706986096292,39.56089851545223,1.7739095771960989,
1991,,,,,,1463.04552694349,278.46651189923,1172.59794482794,47.59881433794892,41.39019103662776,1.8915187671337064,
1992,,,,,,1389.99165851548,280.04424759976,1097.8155828717502,48.20719557430392,42.03947407990783,1.8863698738038204,
1993,,,,,,1327.69884017189,281.69770525779,1033.67990143907,50.96698556523316,44.61848442676346,1.94652734350009,
1994,,,,,,1281.68645329071,282.92360146707,986.23512775477,51.59792841391123,45.07707242929912,1.9546014015191464,
1995,,,,,,1257.87624918341,284.52420395348,960.58620079867,52.75240847292417,45.7784048454409,2.0818004420157634,
1996,,,,,,1251.95338545518,287.73919720132,951.08434246711,54.57173354578714,47.31595332891467,2.096844463896692,
1997,,,,,,1254.42404816851,293.65789150397,947.09614246001,56.17194474824012,48.77729835292092,1.9937373402161007,
1998,,,,,,1261.35288771061,301.24374977835,945.84450357156,59.20622262127952,51.61094805415375,1.901480500776532,
1999,,,,,533.4,1269.99207510294,308.69047889889,946.53415220817,62.94001237831058,55.23025581878965,1.7452939416862965,401.7
2000,,,,,506.4,1277.51106227517,315.43912752972,946.98031434205,65.56507688581134,57.39744123782258,1.595261575945223,353.2
2001,,,,,502.8,1284.95792341894,322.21344834374,947.50343075478,67.18285068322494,58.86883427782134,1.4884141812707516,364.6
2002,,,,,480.6,1294.13190394696,330.13567914808,948.63605161621,67.15737935205621,58.92225460382831,1.4672265810504983,426.6
2003,,,,,474.9,1304.97662353335,338.83741999086,950.66358949155,68.79420316246538,60.19858058878778,1.431262874829197,366.8
2004,,,,,467.5,1316.8804590521,346.06618495214,955.22687665121,68.32491797192756,59.29887070256428,1.3821575899193512,339.9
2005,,,,,469.3,1328.16839279463,351.14971558138,961.25308968147,70.97429111673675,61.87940703470008,1.3686945223130869,328.5
2006,,,,,468.8,1351.00974489325,354.06384207404,980.93354540267,70.85024220032206,61.86067127522735,1.3105068647948124,329.7
2007,,,,,437.5,1395.37379391968,358.61481037396004,1020.40290855776,70.39090793896631,61.4955105681725,1.2353832623490788,298.5
2008,,,,,462.7,1446.16380572509,363.57004404704,1065.84803684035,76.13013154441208,66.76625288424648,1.2342339416541463,330.9
2009,,,,,446.4,1488.5841371354,368.06378940826,1103.43443536066,77.34711544558961,67.93926675249936,1.213970460514106,352.6
2010,,,,,434.2,1511.69199670136,372.84803336966,1121.48379677803,78.5905934901288,69.08236122812298,1.2002170689925238,338.3
2011,,,,,431.8,1520.6583720431,377.13387918902,1125.98609418695,81.61522759239396,71.80739175191006,1.2284929060451837,330.2
2012,,,,,446.2,1531.06878898091,382.72062414737,1130.60825781324,82.39510324563093,72.40908801348246,1.2424657989682948,347.4
2013,,,,,440.2,1540.9835632757702,388.33315258865,1134.69810805871,84.7865783347443,74.57655267709293,1.2725616097352863,337.9
2014,,,,,443.8,1549.18052058032,393.77645370544,1137.25982836379,84.2653844983495,74.02611890277984,1.2868047466756616,337.6
2015,,,,,454.1,1555.56445813943,399.67135065705,1137.51835283895,85.39910635855188,75.23457781057255,1.2997852364943885,361.7
2016,,76.709,,360.274,467.2,1559.93958569188,405.2933538244701,1136.06374255217,87.31740710562842,76.99836473659687,1.2411369701854074,389.3
2017,,74.414,,444.984,470.5,1564.06120853257,411.34781184308,1133.88954694477,90.28776491646587,79.39388692356889,1.2779523581017886,382.8
2018,630.8,66.104,1331.0,289.471,458.2,1567.1797992304798,417.54527189656,1130.54530606044,91.38881469448528,80.34746470544324,1.2155731032225088,346.0
2019,682.4,,1388.0,,452.7,1568.48356966779,423.62436033232,1125.48913231284,92.63862534275331,81.40598637177301,1.2357386226741929,361.3
2020,424.20000000000005,,865.4000000000001,,575.4,1605.66421507337,429.35162628036,1156.47527752313,93.58463437207494,82.24278880744377,1.224153868191847,440.6
2021,477.29999999999995,,762.4,,,1597.89248764599,433.30691877613,1144.87367892076,95.15843575648468,83.80471062827314,1.2163223526678824,
2022,560.1,,836.0,,,,,,,,,
2023,316.2,,464.7,,,,,,,,,
